;CP1;CP2;CP3
E1;1,771525877;-0,61814288;-0,10329391
E2;1,164511975;-1,026301;-0,12013957
E3;3,678460111;0,65213854;-0,1202414
E4;0,597603897;0,91813187;0,39210514
E5;-0,220998826;-1,143536695;0,29346702
E6;-1,171880708;0,20419299;-0,57434355
E7;-1,038387545;0,49228887;0,1985074
E8;-1,317275727;-0,26473591;0,136989
E9;-1,806421663;0,12243004;-0,36286473
E10;-1,12125015;0,01660436;0,34389949
E11;-0,532821423;0,50317853;-0,07380374
E12;-0,003065821;0,14375153;-0,01028114
